iter	Logloss
0	0.6897341783
1	0.6872558662
2	0.6843761156
3	0.6819117703
4	0.6803716634
5	0.6785636868
6	0.6771202867
7	0.6759026252
8	0.6747341953
9	0.6735114882
10	0.6725280185
11	0.6715045878
12	0.6707863498
13	0.669951199
14	0.6693835449
15	0.6687420281
16	0.6680469225
17	0.667568356
18	0.6670146722
19	0.6664003262
20	0.6659652574
21	0.6654909634
22	0.6649322781
23	0.6646708883
24	0.6643380263
25	0.6637188348
26	0.6633779568
27	0.662781467
28	0.6624501512
29	0.6620623542
30	0.6618221063
31	0.6615948622
32	0.6613467543
33	0.6609608765
34	0.6606880663
35	0.6603041246
36	0.6601478441
37	0.6599041341
38	0.6597273865
39	0.6593956807
40	0.6591975098
41	0.6589121806
42	0.6585821431
43	0.6583658413
44	0.6581003113
45	0.6577334052
46	0.6573879869
47	0.6572419095
48	0.6570438639
49	0.6567633057
50	0.6565840352
51	0.6563896756
52	0.6561872355
53	0.6560246684
54	0.6555964559
55	0.6554038866
56	0.6551176181
57	0.6546792467
58	0.6544674649
59	0.6543007507
60	0.6541193814
61	0.6539978604
62	0.6538759901
63	0.6537014296
64	0.6535141669
65	0.653199195
66	0.6530356988
67	0.6528644816
68	0.652546519
69	0.6521912503
70	0.6518806525
71	0.6517082113
72	0.6514125366
73	0.6510931295
74	0.6508922865
75	0.6506918979
76	0.6503241916
77	0.6500732422
78	0.6498192885
79	0.6496345283
80	0.649485772
81	0.6492643127
82	0.6488883803
83	0.6487303738
84	0.6485218302
85	0.6483680589
86	0.6481607496
87	0.6480468987
88	0.6479853923
89	0.6478734029
90	0.6476824985
91	0.647327613
92	0.6472365587
93	0.6469582587
94	0.6466846212
95	0.6464560004
96	0.6461225315
97	0.6459258796
98	0.6456909688
99	0.645508311
100	0.6452881944
101	0.6450400594
102	0.6449366828
103	0.6447701586
104	0.6444001261
105	0.644137597
106	0.643935262
107	0.643655053
108	0.6432309774
109	0.6428512539
110	0.6426753743
111	0.6424654982
112	0.6422131212
113	0.6420001187
114	0.641913442
115	0.6417083774
116	0.6412896762
117	0.6410064053
118	0.6407098219
119	0.6404706116
120	0.640227044
121	0.6400074192
122	0.639842414
123	0.6396430189
124	0.6393449639
