iter	Passed	Remaining
0	7	985
1	15	942
2	22	908
3	28	858
4	34	829
5	42	841
6	48	821
7	54	799
8	60	783
9	66	769
10	74	768
11	80	755
12	86	743
13	92	730
14	97	718
15	103	707
16	109	696
17	114	682
18	120	672
19	125	660
20	130	648
21	136	637
22	141	628
23	146	618
24	152	609
25	158	604
26	164	597
27	171	592
28	176	584
29	182	576
30	189	573
31	194	565
32	200	559
33	207	555
34	213	549
35	219	543
36	225	535
37	230	528
38	236	522
39	242	515
40	248	508
41	254	503
42	260	497
43	266	490
44	272	483
45	277	477
46	284	471
47	289	464
48	295	458
49	301	452
50	307	446
51	313	440
52	320	434
53	325	428
54	331	421
55	337	416
56	343	409
57	350	404
58	355	398
59	361	391
60	367	385
61	373	379
62	379	373
63	385	367
64	391	361
65	397	355
66	403	348
67	408	342
68	414	336
69	420	330
70	426	324
71	432	318
72	438	312
73	443	305
74	449	299
75	455	293
76	461	287
77	468	282
78	474	276
79	480	270
80	487	264
81	492	258
82	498	252
83	504	246
84	509	239
85	515	233
86	521	227
87	527	221
88	532	215
89	538	209
90	544	203
91	550	197
92	555	191
93	561	185
94	567	179
95	572	173
96	579	167
97	585	161
98	591	155
99	597	149
100	603	143
101	608	137
102	614	131
103	620	125
104	627	119
105	633	113
106	639	107
107	645	101
108	651	95
109	656	89
110	662	83
111	668	77
112	674	71
113	681	65
114	686	59
115	692	53
116	698	47
117	704	41
118	711	35
119	716	29
120	722	23
121	728	17
122	734	11
123	739	5
124	745	0
